shelf_id,person_id,timestamp,age,gender,height,weight,married_status,moving_speed_(m/s),item_id,looking_at_item_(s),holding_the_item_(s),holding_the_bag,picking_up_item,returning_item,putting_item_into_bag,taking_item_out_of_bag,putting_item_into_bag_in_the_2nd_time,si_id,date,time
2,3,2024-07-06 10:36:00,43,Male,173,68,Married,0.98,5,22,27,True,True,True,False,True,False,25,2024-07-06,10:36:00
2,3,2024-07-06 10:37:00,43,Male,173,68,Married,1.41,7,27,32,True,True,False,True,False,False,27,2024-07-06,10:37:00
2,3,2024-07-06 10:38:00,43,Male,173,68,Married,0.58,8,30,34,True,True,False,True,False,False,28,2024-07-06,10:38:00
2,3,2024-07-06 10:40:00,43,Male,173,68,Married,1.45,3,36,37,True,True,False,False,False,False,23,2024-07-06,10:40:00
2,3,2024-07-06 10:42:00,43,Male,173,68,Married,1.03,6,35,37,True,True,True,True,True,True,26,2024-07-06,10:42:00
0,4,2024-07-06 10:35:00,70,Male,175,77,Married,1.37,5,22,23,False,True,False,False,True,False,05,2024-07-06,10:35:00
0,4,2024-07-06 10:39:00,70,Male,175,77,Married,1.37,0,15,30,False,True,False,True,False,True,00,2024-07-06,10:39:00
0,4,2024-07-06 10:40:00,70,Male,175,77,Married,1.22,8,33,37,False,True,False,True,True,True,08,2024-07-06,10:40:00
0,4,2024-07-06 10:43:00,70,Male,175,77,Married,0.52,1,31,28,False,True,True,True,False,True,01,2024-07-06,10:43:00
0,4,2024-07-06 10:44:00,70,Male,175,77,Married,0.61,6,23,38,False,True,False,False,False,False,06,2024-07-06,10:44:00
7,5,2024-07-06 10:41:00,63,Female,162,48,Married,1.31,3,36,32,True,True,True,False,True,False,73,2024-07-06,10:41:00
7,5,2024-07-06 10:44:00,63,Female,162,48,Married,0.62,12,24,26,True,True,True,False,,True,712,2024-07-06,10:44:00
7,5,2024-07-06 10:46:00,63,Female,162,48,Married,1.28,15,31,34,True,True,True,,False,True,715,2024-07-06,10:46:00
7,5,2024-07-06 10:51:00,63,Female,162,48,Married,0.18,14,15,15,True,True,True,,True,True,714,2024-07-06,10:51:00
7,5,2024-07-06 10:53:00,63,Female,162,48,Married,0.87,10,22,34,True,True,True,False,,False,710,2024-07-06,10:53:00
7,5,2024-07-06 10:55:00,63,Female,162,48,Married,0.52,12,20,24,True,True,True,True,True,True,712,2024-07-06,10:55:00
3,5,2024-07-06 10:58:00,63,Female,162,48,Married,1.21,24,26,39,True,True,False,True,False,False,324,2024-07-06,10:58:00
3,6,2024-07-06 10:53:00,40,Male,177,88,Married,0.54,23,30,19,True,True,False,True,False,True,323,2024-07-06,10:53:00
3,6,2024-07-06 10:54:00,40,Male,177,88,Married,0.28,16,23,15,True,True,False,True,False,,316,2024-07-06,10:54:00
3,6,2024-07-06 10:57:00,40,Male,177,88,Married,0.28,22,24,26,True,True,False,True,True,True,322,2024-07-06,10:57:00
3,6,2024-07-06 10:58:00,40,Male,177,88,Married,0.2,13,25,27,True,True,False,False,False,True,313,2024-07-06,10:58:00
3,6,2024-07-06 11:02:00,40,Male,177,88,Married,0.55,18,60,16,True,True,False,True,False,False,318,2024-07-06,11:02:00
2,6,2024-07-06 11:05:00,40,Male,177,88,Married,1.09,8,68,24,True,True,False,True,False,False,28,2024-07-06,11:05:00
2,6,2024-07-06 11:06:00,40,Male,177,88,Married,1.28,7,64,20,True,True,False,True,False,,27,2024-07-06,11:06:00
4,6,2024-07-06 11:09:00,40,Male,177,88,Married,1.02,11,31,32,True,True,True,False,False,False,411,2024-07-06,11:09:00
4,6,2024-07-06 11:13:00,40,Male,177,88,Married,0.72,17,33,26,True,True,False,True,False,False,417,2024-07-06,11:13:00
0,7,2024-07-06 11:03:00,68,Female,151,55,Married,1.11,8,24,21,True,True,True,,,,08,2024-07-06,11:03:00
0,7,2024-07-06 11:08:00,68,Female,151,55,Married,1.01,8,15,27,True,True,False,True,False,True,08,2024-07-06,11:08:00
0,7,2024-07-06 11:09:00,68,Female,151,55,Married,0.91,8,19,18,True,True,True,True,False,True,08,2024-07-06,11:09:00
0,7,2024-07-06 11:10:00,68,Female,151,55,Married,0.29,4,39,18,True,True,True,False,True,False,04,2024-07-06,11:10:00
7,7,2024-07-06 11:14:00,68,Female,151,55,Married,0.88,12,20,34,True,True,False,True,False,True,712,2024-07-06,11:14:00
7,7,2024-07-06 11:16:00,68,Female,151,55,Married,1.26,0,31,22,True,True,False,True,False,False,70,2024-07-06,11:16:00
1,7,2024-07-06 11:18:00,68,Female,151,55,Married,1.24,17,24,19,True,True,True,True,True,False,117,2024-07-06,11:18:00
0,7,2024-07-06 11:22:00,68,Female,151,55,Married,1.14,5,16,24,True,True,True,False,False,True,05,2024-07-06,11:22:00
7,8,2024-07-06 11:11:00,18,Male,177,61,Married,0.86,12,21,18,True,True,False,False,True,False,712,2024-07-06,11:11:00
4,8,2024-07-06 11:13:00,18,Male,177,61,Married,0.28,10,29,36,True,True,False,True,False,True,410,2024-07-06,11:13:00
4,8,2024-07-06 11:14:00,18,Male,177,61,Married,0.58,5,17,15,True,True,False,False,True,True,45,2024-07-06,11:14:00
4,8,2024-07-06 11:17:00,18,Male,177,61,Married,0.87,0,27,15,True,True,False,False,True,True,40,2024-07-06,11:17:00
4,8,2024-07-06 11:20:00,18,Male,177,61,Married,0.86,3,19,18,True,True,False,True,False,False,43,2024-07-06,11:20:00
5,8,2024-07-06 11:24:00,18,Male,177,61,Married,1.08,4,24,23,True,True,False,True,False,,54,2024-07-06,11:24:00
5,8,2024-07-06 11:25:00,18,Male,177,61,Married,1.41,7,33,24,True,True,False,True,False,True,57,2024-07-06,11:25:00
5,8,2024-07-06 11:27:00,18,Male,177,61,Married,0.19,1,56,50,True,True,False,True,False,True,51,2024-07-06,11:27:00
5,8,2024-07-06 11:32:00,18,Male,177,61,Married,0.59,15,33,38,True,True,True,False,False,True,515,2024-07-06,11:32:00
5,8,2024-07-06 11:34:00,18,Male,177,61,Married,0.76,11,26,27,True,True,False,False,True,False,511,2024-07-06,11:34:00
5,8,2024-07-06 11:38:00,18,Male,177,61,Married,1.5,13,34,32,True,True,True,False,True,True,513,2024-07-06,11:38:00
7,8,2024-07-06 11:43:00,18,Male,177,61,Married,1.27,13,26,20,True,True,True,False,,False,713,2024-07-06,11:43:00
7,8,2024-07-06 11:47:00,18,Male,177,61,Married,0.9,6,52,57,True,True,False,True,False,True,76,2024-07-06,11:47:00
7,8,2024-07-06 11:52:00,18,Male,177,61,Married,0.16,7,58,57,True,True,False,False,False,True,77,2024-07-06,11:52:00
7,8,2024-07-06 11:55:00,18,Male,177,61,Married,0.84,8,17,39,True,True,True,True,False,,78,2024-07-06,11:55:00
7,8,2024-07-06 11:56:00,18,Male,177,61,Married,0.28,0,22,27,True,True,False,True,False,True,70,2024-07-06,11:56:00
7,8,2024-07-06 11:59:00,18,Male,177,61,Married,1.4,4,22,29,True,True,False,True,True,True,74,2024-07-06,11:59:00
7,8,2024-07-06 12:03:00,18,Male,177,61,Married,0.41,8,37,19,True,True,False,False,True,,78,2024-07-06,12:03:00
7,8,2024-07-06 12:04:00,18,Male,177,61,Married,0.69,4,28,38,True,True,False,False,True,True,74,2024-07-06,12:04:00
7,8,2024-07-06 12:09:00,18,Male,177,61,Married,1.32,9,34,37,True,True,False,False,False,True,79,2024-07-06,12:09:00
7,8,2024-07-06 12:13:00,18,Male,177,61,Married,1.14,15,18,22,True,True,True,,True,True,715,2024-07-06,12:13:00
7,8,2024-07-06 12:17:00,18,Male,177,61,Married,0.19,8,25,22,True,True,True,False,,,78,2024-07-06,12:17:00
1,9,2024-07-06 11:17:00,43,Male,175,65,Married,0.25,14,4,14,False,True,False,True,True,True,114,2024-07-06,11:17:00
2,10,2024-07-06 11:30:00,32,Female,161,43,Married,0.96,0,30,20,False,True,True,False,,False,20,2024-07-06,11:30:00
0,10,2024-07-06 11:32:00,32,Female,161,43,Married,1.44,0,20,36,False,True,True,False,False,True,00,2024-07-06,11:32:00
0,10,2024-07-06 11:34:00,32,Female,161,43,Married,1.06,2,15,32,False,True,True,,True,False,02,2024-07-06,11:34:00
0,10,2024-07-06 11:38:00,32,Female,161,43,Married,0.7,5,17,38,False,True,False,False,,True,05,2024-07-06,11:38:00
4,11,2024-07-06 11:36:00,72,Female,153,52,Married,0.22,3,68,16,False,True,False,True,False,True,43,2024-07-06,11:36:00
4,11,2024-07-06 11:37:00,72,Female,153,52,Married,1.25,17,33,21,False,True,False,True,False,False,417,2024-07-06,11:37:00
5,11,2024-07-06 11:42:00,72,Female,153,52,Married,0.97,14,27,16,False,True,False,True,True,False,514,2024-07-06,11:42:00
5,11,2024-07-06 11:46:00,72,Female,153,52,Married,0.49,11,32,30,False,True,True,False,False,False,511,2024-07-06,11:46:00
1,12,2024-07-06 11:39:00,62,Female,163,58,Married,0.4,3,32,24,True,True,True,False,False,,13,2024-07-06,11:39:00
3,12,2024-07-06 11:44:00,62,Female,163,58,Married,1.2,19,39,33,True,True,False,True,False,True,319,2024-07-06,11:44:00
3,12,2024-07-06 11:47:00,62,Female,163,58,Married,1.17,18,31,29,True,True,True,True,False,,318,2024-07-06,11:47:00
3,12,2024-07-06 11:49:00,62,Female,163,58,Married,0.24,10,15,18,True,True,False,True,False,False,310,2024-07-06,11:49:00
3,12,2024-07-06 11:53:00,62,Female,163,58,Married,1.19,2,22,24,True,True,False,True,True,True,32,2024-07-06,11:53:00
3,12,2024-07-06 11:58:00,62,Female,163,58,Married,0.75,20,58,51,True,True,False,True,False,,320,2024-07-06,11:58:00
1,12,2024-07-06 12:02:00,62,Female,163,58,Married,0.61,1,39,20,True,True,True,True,,False,11,2024-07-06,12:02:00
1,12,2024-07-06 12:04:00,62,Female,163,58,Married,0.44,12,18,24,True,True,True,False,,False,112,2024-07-06,12:04:00
0,12,2024-07-06 12:05:00,62,Female,163,58,Married,0.47,4,36,31,True,True,False,True,False,,04,2024-07-06,12:05:00
0,12,2024-07-06 12:10:00,62,Female,163,58,Married,0.74,10,15,29,True,True,True,False,,True,010,2024-07-06,12:10:00
0,12,2024-07-06 12:11:00,62,Female,163,58,Married,1.07,0,28,17,True,True,False,False,False,True,00,2024-07-06,12:11:00
0,12,2024-07-06 12:12:00,62,Female,163,58,Married,0.44,5,21,32,True,True,False,False,False,True,05,2024-07-06,12:12:00
0,12,2024-07-06 12:15:00,62,Female,163,58,Married,0.67,4,27,36,True,True,True,True,True,True,04,2024-07-06,12:15:00
0,13,2024-07-06 11:41:00,21,Male,179,84,Single,0.6,4,28,28,True,True,False,True,False,False,04,2024-07-06,11:41:00
0,13,2024-07-06 11:44:00,21,Male,179,84,Single,1.39,2,34,36,True,True,False,False,True,,02,2024-07-06,11:44:00
0,13,2024-07-06 11:45:00,21,Male,179,84,Single,0.73,12,17,16,True,True,True,True,False,False,012,2024-07-06,11:45:00
5,13,2024-07-06 11:48:00,21,Male,179,84,Single,0.22,8,60,30,True,True,True,True,False,True,58,2024-07-06,11:48:00
6,13,2024-07-06 11:50:00,21,Male,179,84,Single,1.42,16,12,9,True,True,True,True,True,False,616,2024-07-06,11:50:00
6,13,2024-07-06 11:53:00,21,Male,179,84,Single,0.61,1,35,17,True,True,True,True,True,,61,2024-07-06,11:53:00
6,13,2024-07-06 11:58:00,21,Male,179,84,Single,1.07,4,31,35,True,True,False,False,True,True,64,2024-07-06,11:58:00
4,13,2024-07-06 12:00:00,21,Male,179,84,Single,1.03,18,19,28,True,True,False,False,False,False,418,2024-07-06,12:00:00
4,13,2024-07-06 12:03:00,21,Male,179,84,Single,0.98,7,60,30,True,True,True,False,False,,47,2024-07-06,12:03:00
4,13,2024-07-06 12:07:00,21,Male,179,84,Single,0.85,13,16,32,True,True,True,True,,False,413,2024-07-06,12:07:00
4,13,2024-07-06 12:08:00,21,Male,179,84,Single,0.96,11,29,30,True,True,True,,False,False,411,2024-07-06,12:08:00
0,13,2024-07-06 12:11:00,21,Male,179,84,Single,0.51,0,28,20,True,True,False,False,False,False,00,2024-07-06,12:11:00
0,13,2024-07-06 12:16:00,21,Male,179,84,Single,1.27,8,63,31,True,True,True,False,False,False,08,2024-07-06,12:16:00
0,13,2024-07-06 12:19:00,21,Male,179,84,Single,0.92,9,64,25,True,True,True,,,True,09,2024-07-06,12:19:00
0,13,2024-07-06 12:22:00,21,Male,179,84,Single,1.0,1,22,25,True,True,False,False,False,False,01,2024-07-06,12:22:00
0,13,2024-07-06 12:24:00,21,Male,179,84,Single,0.71,11,15,39,True,True,True,,False,True,011,2024-07-06,12:24:00
1,14,2024-07-06 11:53:00,73,Male,170,88,Married,1.07,16,30,26,True,True,False,False,True,True,116,2024-07-06,11:53:00
7,14,2024-07-06 11:55:00,73,Male,170,88,Married,1.26,15,18,36,True,True,False,True,False,False,715,2024-07-06,11:55:00
7,14,2024-07-06 11:56:00,73,Male,170,88,Married,1.35,11,36,15,True,True,True,True,True,False,711,2024-07-06,11:56:00
1,14,2024-07-06 11:58:00,73,Male,170,88,Married,0.14,16,33,17,True,True,False,True,False,True,116,2024-07-06,11:58:00
7,14,2024-07-06 12:02:00,73,Male,170,88,Married,0.76,8,64,34,True,True,True,False,True,True,78,2024-07-06,12:02:00
7,14,2024-07-06 12:07:00,73,Male,170,88,Married,0.21,11,28,38,True,True,True,,False,False,711,2024-07-06,12:07:00
7,14,2024-07-06 12:11:00,73,Male,170,88,Married,0.79,2,24,29,True,True,False,True,True,True,72,2024-07-06,12:11:00
7,14,2024-07-06 12:12:00,73,Male,170,88,Married,1.44,6,53,50,True,True,True,False,True,,76,2024-07-06,12:12:00
7,14,2024-07-06 12:15:00,73,Male,170,88,Married,0.44,12,16,30,True,True,True,False,False,True,712,2024-07-06,12:15:00
1,14,2024-07-06 12:16:00,73,Male,170,88,Married,0.9,10,15,30,True,True,False,True,True,True,110,2024-07-06,12:16:00
1,14,2024-07-06 12:19:00,73,Male,170,88,Married,1.18,11,21,15,True,True,False,True,False,True,111,2024-07-06,12:19:00
1,15,2024-07-06 12:06:00,57,Male,171,59,Single,0.26,2,38,38,True,True,False,True,False,False,12,2024-07-06,12:06:00
1,15,2024-07-06 12:08:00,57,Male,171,59,Single,1.03,7,21,39,True,True,True,,True,False,17,2024-07-06,12:08:00
1,15,2024-07-06 12:10:00,57,Male,171,59,Single,1.24,17,16,28,True,True,False,True,True,True,117,2024-07-06,12:10:00
1,15,2024-07-06 12:14:00,57,Male,171,59,Single,1.39,6,26,21,True,True,True,False,False,True,16,2024-07-06,12:14:00
1,15,2024-07-06 12:17:00,57,Male,171,59,Single,0.53,0,39,18,True,True,True,,True,True,10,2024-07-06,12:17:00
1,15,2024-07-06 12:20:00,57,Male,171,59,Single,0.59,17,39,36,True,True,True,,False,True,117,2024-07-06,12:20:00
2,15,2024-07-06 12:24:00,57,Male,171,59,Single,0.75,4,18,24,True,True,False,False,True,False,24,2024-07-06,12:24:00
2,15,2024-07-06 12:29:00,57,Male,171,59,Single,1.34,3,35,32,True,True,True,False,True,,23,2024-07-06,12:29:00
2,15,2024-07-06 12:31:00,57,Male,171,59,Single,0.23,5,17,22,True,True,False,True,True,True,25,2024-07-06,12:31:00
2,15,2024-07-06 12:35:00,57,Male,171,59,Single,1.01,0,23,17,True,True,True,False,False,,20,2024-07-06,12:35:00
2,15,2024-07-06 12:37:00,57,Male,171,59,Single,0.73,8,19,28,True,True,False,False,True,True,28,2024-07-06,12:37:00
2,15,2024-07-06 12:41:00,57,Male,171,59,Single,0.68,3,30,28,True,True,False,True,True,True,23,2024-07-06,12:41:00
2,16,2024-07-06 12:14:00,49,Male,178,85,Married,0.34,6,66,28,False,True,True,True,False,,26,2024-07-06,12:14:00
1,16,2024-07-06 12:18:00,49,Male,178,85,Married,0.48,6,65,32,False,True,False,False,False,True,16,2024-07-06,12:18:00
1,16,2024-07-06 12:20:00,49,Male,178,85,Married,0.64,1,25,16,False,True,False,True,True,False,11,2024-07-06,12:20:00
2,17,2024-07-06 12:27:00,29,Male,176,86,Single,0.91,7,67,29,True,True,False,False,True,,27,2024-07-06,12:27:00
2,17,2024-07-06 12:32:00,29,Male,176,86,Single,1.31,2,25,31,True,True,True,True,True,False,22,2024-07-06,12:32:00
2,17,2024-07-06 12:36:00,29,Male,176,86,Single,1.13,5,20,20,True,True,True,False,,,25,2024-07-06,12:36:00
2,17,2024-07-06 12:41:00,29,Male,176,86,Single,0.4,0,27,33,True,True,False,False,,True,20,2024-07-06,12:41:00
4,17,2024-07-06 12:46:00,29,Male,176,86,Single,0.77,15,22,35,True,True,True,False,False,False,415,2024-07-06,12:46:00
3,17,2024-07-06 12:49:00,29,Male,176,86,Single,0.4,4,18,29,True,True,True,True,False,False,34,2024-07-06,12:49:00
3,17,2024-07-06 12:54:00,29,Male,176,86,Single,0.18,0,20,28,True,True,False,False,True,False,30,2024-07-06,12:54:00
5,17,2024-07-06 12:56:00,29,Male,176,86,Single,0.49,5,38,16,True,True,True,False,False,False,55,2024-07-06,12:56:00
5,17,2024-07-06 13:01:00,29,Male,176,86,Single,1.12,3,18,25,True,True,False,True,True,False,53,2024-07-06,13:01:00
5,17,2024-07-06 13:02:00,29,Male,176,86,Single,0.43,14,15,31,True,True,True,False,True,,514,2024-07-06,13:02:00
5,17,2024-07-06 13:03:00,29,Male,176,86,Single,1.18,11,32,34,True,True,False,False,False,False,511,2024-07-06,13:03:00
6,17,2024-07-06 13:07:00,29,Male,176,86,Single,1.19,16,34,36,True,True,False,False,,False,616,2024-07-06,13:07:00
6,17,2024-07-06 13:09:00,29,Male,176,86,Single,0.28,1,7,2,True,True,False,True,True,False,61,2024-07-06,13:09:00
6,17,2024-07-06 13:14:00,29,Male,176,86,Single,1.2,10,34,23,True,True,False,True,False,True,610,2024-07-06,13:14:00
0,18,2024-07-06 12:29:00,47,Female,162,55,Married,0.45,7,16,36,True,True,True,False,True,False,07,2024-07-06,12:29:00
0,18,2024-07-06 12:30:00,47,Female,162,55,Married,0.4,3,24,29,True,True,False,True,False,False,03,2024-07-06,12:30:00
0,18,2024-07-06 12:34:00,47,Female,162,55,Married,1.11,9,20,30,True,True,False,False,False,False,09,2024-07-06,12:34:00
0,18,2024-07-06 12:35:00,47,Female,162,55,Married,0.27,9,27,30,True,True,True,False,False,,09,2024-07-06,12:35:00
7,18,2024-07-06 12:37:00,47,Female,162,55,Married,1.35,10,39,19,True,True,True,,True,False,710,2024-07-06,12:37:00
7,18,2024-07-06 12:42:00,47,Female,162,55,Married,0.99,6,59,51,True,True,False,False,True,True,76,2024-07-06,12:42:00
7,18,2024-07-06 12:45:00,47,Female,162,55,Married,0.66,1,39,28,True,True,True,False,False,False,71,2024-07-06,12:45:00
7,18,2024-07-06 12:50:00,47,Female,162,55,Married,1.23,8,19,32,True,True,True,False,False,True,78,2024-07-06,12:50:00
7,18,2024-07-06 12:52:00,47,Female,162,55,Married,0.11,13,18,23,True,True,False,True,True,False,713,2024-07-06,12:52:00
7,18,2024-07-06 12:53:00,47,Female,162,55,Married,1.22,12,31,23,True,True,False,False,True,False,712,2024-07-06,12:53:00
7,18,2024-07-06 12:57:00,47,Female,162,55,Married,1.39,13,33,30,True,True,False,False,False,,713,2024-07-06,12:57:00
7,18,2024-07-06 13:02:00,47,Female,162,55,Married,1.23,11,15,25,True,True,False,False,True,False,711,2024-07-06,13:02:00
7,18,2024-07-06 13:05:00,47,Female,162,55,Married,0.52,14,32,28,True,True,False,True,False,True,714,2024-07-06,13:05:00
0,18,2024-07-06 13:09:00,47,Female,162,55,Married,0.48,1,17,33,True,True,False,True,False,False,01,2024-07-06,13:09:00
0,18,2024-07-06 13:14:00,47,Female,162,55,Married,0.95,3,37,28,True,True,True,,False,True,03,2024-07-06,13:14:00
0,18,2024-07-06 13:18:00,47,Female,162,55,Married,1.06,7,36,15,True,True,False,False,False,False,07,2024-07-06,13:18:00
0,19,2024-07-06 12:40:00,41,Female,153,47,Married,0.95,9,20,30,True,True,True,True,False,False,09,2024-07-06,12:40:00
0,19,2024-07-06 12:42:00,41,Female,153,47,Married,0.86,11,18,33,True,True,True,False,True,True,011,2024-07-06,12:42:00
0,19,2024-07-06 12:46:00,41,Female,153,47,Married,1.1,3,27,26,True,True,False,True,True,True,03,2024-07-06,12:46:00
0,19,2024-07-06 12:47:00,41,Female,153,47,Married,0.51,2,25,30,True,True,True,True,,True,02,2024-07-06,12:47:00
5,19,2024-07-06 12:48:00,41,Female,153,47,Married,1.05,6,26,35,True,True,False,True,True,False,56,2024-07-06,12:48:00
5,19,2024-07-06 12:53:00,41,Female,153,47,Married,1.33,14,15,27,True,True,False,True,True,False,514,2024-07-06,12:53:00
5,19,2024-07-06 12:54:00,41,Female,153,47,Married,0.52,2,22,21,True,True,False,True,True,False,52,2024-07-06,12:54:00
5,19,2024-07-06 12:57:00,41,Female,153,47,Married,1.03,12,33,22,True,True,True,False,True,True,512,2024-07-06,12:57:00
5,19,2024-07-06 12:58:00,41,Female,153,47,Married,0.24,10,36,28,True,True,True,False,,False,510,2024-07-06,12:58:00
4,19,2024-07-06 13:02:00,41,Female,153,47,Married,0.58,4,21,39,True,True,True,False,False,True,44,2024-07-06,13:02:00
7,19,2024-07-06 13:07:00,41,Female,153,47,Married,0.47,15,25,17,True,True,False,False,False,True,715,2024-07-06,13:07:00
7,19,2024-07-06 13:10:00,41,Female,153,47,Married,1.4,2,29,24,True,True,False,False,,,72,2024-07-06,13:10:00
7,19,2024-07-06 13:13:00,41,Female,153,47,Married,0.6,3,22,16,True,True,False,False,False,False,73,2024-07-06,13:13:00
4,19,2024-07-06 13:18:00,41,Female,153,47,Married,1.0,12,33,36,True,True,True,True,False,,412,2024-07-06,13:18:00
4,19,2024-07-06 13:22:00,41,Female,153,47,Married,0.65,1,65,33,True,True,False,True,False,,41,2024-07-06,13:22:00
4,19,2024-07-06 13:23:00,41,Female,153,47,Married,1.24,2,63,25,True,True,False,True,False,,42,2024-07-06,13:23:00
2,20,2024-07-06 12:42:00,47,Male,178,81,Married,1.26,3,38,17,True,True,False,False,False,True,23,2024-07-06,12:42:00
2,20,2024-07-06 12:44:00,47,Male,178,81,Married,0.32,4,34,17,True,True,True,False,True,True,24,2024-07-06,12:44:00
2,20,2024-07-06 12:45:00,47,Male,178,81,Married,1.06,8,69,29,True,True,True,True,False,True,28,2024-07-06,12:45:00
4,20,2024-07-06 12:49:00,47,Male,178,81,Married,0.2,14,18,39,True,True,True,True,False,False,414,2024-07-06,12:49:00
2,20,2024-07-06 12:50:00,47,Male,178,81,Married,0.25,4,15,17,True,True,True,False,True,False,24,2024-07-06,12:50:00
2,20,2024-07-06 12:52:00,47,Male,178,81,Married,0.82,8,65,27,True,True,False,False,False,True,28,2024-07-06,12:52:00
2,21,2024-07-06 12:50:00,18,Female,154,49,Single,0.48,4,28,15,True,True,True,True,False,False,24,2024-07-06,12:50:00
7,21,2024-07-06 12:52:00,18,Female,154,49,Single,1.0,7,52,56,True,True,False,True,False,,77,2024-07-06,12:52:00
7,21,2024-07-06 12:55:00,18,Female,154,49,Single,0.22,7,56,58,True,True,True,True,True,False,77,2024-07-06,12:55:00
7,21,2024-07-06 12:56:00,18,Female,154,49,Single,0.78,3,24,30,True,True,False,False,,False,73,2024-07-06,12:56:00
7,21,2024-07-06 12:59:00,18,Female,154,49,Single,0.46,11,15,17,True,True,True,False,True,False,711,2024-07-06,12:59:00
2,21,2024-07-06 13:00:00,18,Female,154,49,Single,0.7,2,18,28,True,True,True,False,True,False,22,2024-07-06,13:00:00
4,22,2024-07-06 12:51:00,46,Female,162,51,Married,1.34,17,27,28,True,True,True,True,False,False,417,2024-07-06,12:51:00
4,22,2024-07-06 12:54:00,46,Female,162,51,Married,1.16,9,39,23,True,True,False,True,True,True,49,2024-07-06,12:54:00
1,22,2024-07-06 12:58:00,46,Female,162,51,Married,0.37,6,15,32,True,True,True,True,True,True,16,2024-07-06,12:58:00
1,22,2024-07-06 13:00:00,46,Female,162,51,Married,1.45,9,15,39,True,True,True,False,True,False,19,2024-07-06,13:00:00
1,22,2024-07-06 13:02:00,46,Female,162,51,Married,0.68,7,21,32,True,True,True,True,,False,17,2024-07-06,13:02:00
1,22,2024-07-06 13:03:00,46,Female,162,51,Married,0.29,7,30,19,True,True,True,False,False,True,17,2024-07-06,13:03:00
1,22,2024-07-06 13:08:00,46,Female,162,51,Married,1.34,11,34,39,True,True,False,True,False,True,111,2024-07-06,13:08:00
1,22,2024-07-06 13:10:00,46,Female,162,51,Married,0.84,14,7,0,True,True,False,True,False,False,114,2024-07-06,13:10:00
1,22,2024-07-06 13:11:00,46,Female,162,51,Married,0.14,17,31,20,True,True,False,False,False,False,117,2024-07-06,13:11:00
