si_id,shelf_id,item_id,person_id,timestamp,date,time,holding_the_bag,picking_up_item,returning_item,putting_item_into_bag,taking_item_out_of_bag,putting_item_into_bag_in_the_2nd_time,holding_the_item_(s),looking_at_item_(s),is_buy,dow
27,2,7,3,2024-07-06 10:37:00,2024-07-06,10:37:00,True,True,False,True,False,False,True,True,True,Saturday
28,2,8,3,2024-07-06 10:38:00,2024-07-06,10:38:00,True,True,False,True,False,False,True,True,True,Saturday
23,2,3,3,2024-07-06 10:40:00,2024-07-06,10:40:00,True,True,False,False,False,False,True,True,False,Saturday
26,2,6,3,2024-07-06 10:42:00,2024-07-06,10:42:00,True,True,True,True,True,True,True,True,False,Saturday
05,0,5,4,2024-07-06 10:35:00,2024-07-06,10:35:00,False,True,False,False,True,False,True,True,False,Saturday
00,0,0,4,2024-07-06 10:39:00,2024-07-06,10:39:00,False,True,False,True,False,True,True,True,True,Saturday
08,0,8,4,2024-07-06 10:40:00,2024-07-06,10:40:00,False,True,False,True,True,True,True,True,False,Saturday
01,0,1,4,2024-07-06 10:43:00,2024-07-06,10:43:00,False,True,True,True,False,True,True,True,False,Saturday
06,0,6,4,2024-07-06 10:44:00,2024-07-06,10:44:00,False,True,False,False,False,False,True,True,False,Saturday
73,7,3,5,2024-07-06 10:41:00,2024-07-06,10:41:00,True,True,True,False,True,False,True,True,False,Saturday
712,7,12,5,2024-07-06 10:44:00,2024-07-06,10:44:00,True,True,True,False,,True,True,True,False,Saturday
715,7,15,5,2024-07-06 10:46:00,2024-07-06,10:46:00,True,True,True,,False,True,True,True,False,Saturday
714,7,14,5,2024-07-06 10:51:00,2024-07-06,10:51:00,True,True,True,,True,True,True,True,False,Saturday
710,7,10,5,2024-07-06 10:53:00,2024-07-06,10:53:00,True,True,True,False,,False,True,True,False,Saturday
712,7,12,5,2024-07-06 10:55:00,2024-07-06,10:55:00,True,True,True,True,True,True,True,True,False,Saturday
324,3,24,5,2024-07-06 10:58:00,2024-07-06,10:58:00,True,True,False,True,False,False,True,True,True,Saturday
323,3,23,6,2024-07-06 10:53:00,2024-07-06,10:53:00,True,True,False,True,False,True,True,True,True,Saturday
316,3,16,6,2024-07-06 10:54:00,2024-07-06,10:54:00,True,True,False,True,False,,True,True,True,Saturday
322,3,22,6,2024-07-06 10:57:00,2024-07-06,10:57:00,True,True,False,True,True,True,True,True,False,Saturday
313,3,13,6,2024-07-06 10:58:00,2024-07-06,10:58:00,True,True,False,False,False,True,True,True,True,Saturday
318,3,18,6,2024-07-06 11:02:00,2024-07-06,11:02:00,True,True,False,True,False,False,True,True,True,Saturday
28,2,8,6,2024-07-06 11:05:00,2024-07-06,11:05:00,True,True,False,True,False,False,True,True,True,Saturday
27,2,7,6,2024-07-06 11:06:00,2024-07-06,11:06:00,True,True,False,True,False,,True,True,True,Saturday
411,4,11,6,2024-07-06 11:09:00,2024-07-06,11:09:00,True,True,True,False,False,False,True,True,False,Saturday
417,4,17,6,2024-07-06 11:13:00,2024-07-06,11:13:00,True,True,False,True,False,False,True,True,True,Saturday
08,0,8,7,2024-07-06 11:03:00,2024-07-06,11:03:00,True,True,True,,,,True,True,False,Saturday
08,0,8,7,2024-07-06 11:08:00,2024-07-06,11:08:00,True,True,False,True,False,True,True,True,True,Saturday
08,0,8,7,2024-07-06 11:09:00,2024-07-06,11:09:00,True,True,True,True,False,True,True,True,False,Saturday
04,0,4,7,2024-07-06 11:10:00,2024-07-06,11:10:00,True,True,True,False,True,False,True,True,False,Saturday
712,7,12,7,2024-07-06 11:14:00,2024-07-06,11:14:00,True,True,False,True,False,True,True,True,True,Saturday
70,7,0,7,2024-07-06 11:16:00,2024-07-06,11:16:00,True,True,False,True,False,False,True,True,True,Saturday
117,1,17,7,2024-07-06 11:18:00,2024-07-06,11:18:00,True,True,True,True,True,False,True,True,False,Saturday
05,0,5,7,2024-07-06 11:22:00,2024-07-06,11:22:00,True,True,True,False,False,True,True,True,False,Saturday
712,7,12,8,2024-07-06 11:11:00,2024-07-06,11:11:00,True,True,False,False,True,False,True,True,False,Saturday
410,4,10,8,2024-07-06 11:13:00,2024-07-06,11:13:00,True,True,False,True,False,True,True,True,True,Saturday
45,4,5,8,2024-07-06 11:14:00,2024-07-06,11:14:00,True,True,False,False,True,True,True,True,False,Saturday
40,4,0,8,2024-07-06 11:17:00,2024-07-06,11:17:00,True,True,False,False,True,True,True,True,False,Saturday
43,4,3,8,2024-07-06 11:20:00,2024-07-06,11:20:00,True,True,False,True,False,False,True,True,True,Saturday
54,5,4,8,2024-07-06 11:24:00,2024-07-06,11:24:00,True,True,False,True,False,,True,True,True,Saturday
57,5,7,8,2024-07-06 11:25:00,2024-07-06,11:25:00,True,True,False,True,False,True,True,True,True,Saturday
51,5,1,8,2024-07-06 11:27:00,2024-07-06,11:27:00,True,True,False,True,False,True,True,True,True,Saturday
515,5,15,8,2024-07-06 11:32:00,2024-07-06,11:32:00,True,True,True,False,False,True,True,True,False,Saturday
511,5,11,8,2024-07-06 11:34:00,2024-07-06,11:34:00,True,True,False,False,True,False,True,True,False,Saturday
513,5,13,8,2024-07-06 11:38:00,2024-07-06,11:38:00,True,True,True,False,True,True,True,True,False,Saturday
713,7,13,8,2024-07-06 11:43:00,2024-07-06,11:43:00,True,True,True,False,,False,True,True,False,Saturday
76,7,6,8,2024-07-06 11:47:00,2024-07-06,11:47:00,True,True,False,True,False,True,True,True,True,Saturday
77,7,7,8,2024-07-06 11:52:00,2024-07-06,11:52:00,True,True,False,False,False,True,True,True,True,Saturday
78,7,8,8,2024-07-06 11:55:00,2024-07-06,11:55:00,True,True,True,True,False,,True,True,False,Saturday
70,7,0,8,2024-07-06 11:56:00,2024-07-06,11:56:00,True,True,False,True,False,True,True,True,True,Saturday
74,7,4,8,2024-07-06 11:59:00,2024-07-06,11:59:00,True,True,False,True,True,True,True,True,False,Saturday
78,7,8,8,2024-07-06 12:03:00,2024-07-06,12:03:00,True,True,False,False,True,,True,True,False,Saturday
74,7,4,8,2024-07-06 12:04:00,2024-07-06,12:04:00,True,True,False,False,True,True,True,True,False,Saturday
79,7,9,8,2024-07-06 12:09:00,2024-07-06,12:09:00,True,True,False,False,False,True,True,True,True,Saturday
715,7,15,8,2024-07-06 12:13:00,2024-07-06,12:13:00,True,True,True,,True,True,True,True,False,Saturday
78,7,8,8,2024-07-06 12:17:00,2024-07-06,12:17:00,True,True,True,False,,,True,True,False,Saturday
114,1,14,9,2024-07-06 11:17:00,2024-07-06,11:17:00,False,True,False,True,True,True,True,True,False,Saturday
20,2,0,10,2024-07-06 11:30:00,2024-07-06,11:30:00,False,True,True,False,,False,True,True,False,Saturday
00,0,0,10,2024-07-06 11:32:00,2024-07-06,11:32:00,False,True,True,False,False,True,True,True,False,Saturday
02,0,2,10,2024-07-06 11:34:00,2024-07-06,11:34:00,False,True,True,,True,False,True,True,False,Saturday
05,0,5,10,2024-07-06 11:38:00,2024-07-06,11:38:00,False,True,False,False,,True,True,True,False,Saturday
43,4,3,11,2024-07-06 11:36:00,2024-07-06,11:36:00,False,True,False,True,False,True,True,True,True,Saturday
417,4,17,11,2024-07-06 11:37:00,2024-07-06,11:37:00,False,True,False,True,False,False,True,True,True,Saturday
514,5,14,11,2024-07-06 11:42:00,2024-07-06,11:42:00,False,True,False,True,True,False,True,True,False,Saturday
511,5,11,11,2024-07-06 11:46:00,2024-07-06,11:46:00,False,True,True,False,False,False,True,True,False,Saturday
13,1,3,12,2024-07-06 11:39:00,2024-07-06,11:39:00,True,True,True,False,False,,True,True,False,Saturday
319,3,19,12,2024-07-06 11:44:00,2024-07-06,11:44:00,True,True,False,True,False,True,True,True,True,Saturday
318,3,18,12,2024-07-06 11:47:00,2024-07-06,11:47:00,True,True,True,True,False,,True,True,False,Saturday
310,3,10,12,2024-07-06 11:49:00,2024-07-06,11:49:00,True,True,False,True,False,False,True,True,True,Saturday
32,3,2,12,2024-07-06 11:53:00,2024-07-06,11:53:00,True,True,False,True,True,True,True,True,False,Saturday
320,3,20,12,2024-07-06 11:58:00,2024-07-06,11:58:00,True,True,False,True,False,,True,True,True,Saturday
11,1,1,12,2024-07-06 12:02:00,2024-07-06,12:02:00,True,True,True,True,,False,True,True,False,Saturday
112,1,12,12,2024-07-06 12:04:00,2024-07-06,12:04:00,True,True,True,False,,False,True,True,False,Saturday
04,0,4,12,2024-07-06 12:05:00,2024-07-06,12:05:00,True,True,False,True,False,,True,True,True,Saturday
010,0,10,12,2024-07-06 12:10:00,2024-07-06,12:10:00,True,True,True,False,,True,True,True,False,Saturday
00,0,0,12,2024-07-06 12:11:00,2024-07-06,12:11:00,True,True,False,False,False,True,True,True,True,Saturday
05,0,5,12,2024-07-06 12:12:00,2024-07-06,12:12:00,True,True,False,False,False,True,True,True,True,Saturday
04,0,4,12,2024-07-06 12:15:00,2024-07-06,12:15:00,True,True,True,True,True,True,True,True,False,Saturday
04,0,4,13,2024-07-06 11:41:00,2024-07-06,11:41:00,True,True,False,True,False,False,True,True,True,Saturday
02,0,2,13,2024-07-06 11:44:00,2024-07-06,11:44:00,True,True,False,False,True,,True,True,False,Saturday
012,0,12,13,2024-07-06 11:45:00,2024-07-06,11:45:00,True,True,True,True,False,False,True,True,False,Saturday
58,5,8,13,2024-07-06 11:48:00,2024-07-06,11:48:00,True,True,True,True,False,True,True,True,False,Saturday
616,6,16,13,2024-07-06 11:50:00,2024-07-06,11:50:00,True,True,True,True,True,False,True,True,False,Saturday
61,6,1,13,2024-07-06 11:53:00,2024-07-06,11:53:00,True,True,True,True,True,,True,True,False,Saturday
64,6,4,13,2024-07-06 11:58:00,2024-07-06,11:58:00,True,True,False,False,True,True,True,True,False,Saturday
418,4,18,13,2024-07-06 12:00:00,2024-07-06,12:00:00,True,True,False,False,False,False,True,True,False,Saturday
47,4,7,13,2024-07-06 12:03:00,2024-07-06,12:03:00,True,True,True,False,False,,True,True,False,Saturday
413,4,13,13,2024-07-06 12:07:00,2024-07-06,12:07:00,True,True,True,True,,False,True,True,False,Saturday
411,4,11,13,2024-07-06 12:08:00,2024-07-06,12:08:00,True,True,True,,False,False,True,True,False,Saturday
00,0,0,13,2024-07-06 12:11:00,2024-07-06,12:11:00,True,True,False,False,False,False,True,True,False,Saturday
08,0,8,13,2024-07-06 12:16:00,2024-07-06,12:16:00,True,True,True,False,False,False,True,True,False,Saturday
09,0,9,13,2024-07-06 12:19:00,2024-07-06,12:19:00,True,True,True,,,True,True,True,False,Saturday
01,0,1,13,2024-07-06 12:22:00,2024-07-06,12:22:00,True,True,False,False,False,False,True,True,False,Saturday
011,0,11,13,2024-07-06 12:24:00,2024-07-06,12:24:00,True,True,True,,False,True,True,True,False,Saturday
116,1,16,14,2024-07-06 11:53:00,2024-07-06,11:53:00,True,True,False,False,True,True,True,True,False,Saturday
715,7,15,14,2024-07-06 11:55:00,2024-07-06,11:55:00,True,True,False,True,False,False,True,True,True,Saturday
711,7,11,14,2024-07-06 11:56:00,2024-07-06,11:56:00,True,True,True,True,True,False,True,True,False,Saturday
116,1,16,14,2024-07-06 11:58:00,2024-07-06,11:58:00,True,True,False,True,False,True,True,True,True,Saturday
78,7,8,14,2024-07-06 12:02:00,2024-07-06,12:02:00,True,True,True,False,True,True,True,True,False,Saturday
711,7,11,14,2024-07-06 12:07:00,2024-07-06,12:07:00,True,True,True,,False,False,True,True,False,Saturday
72,7,2,14,2024-07-06 12:11:00,2024-07-06,12:11:00,True,True,False,True,True,True,True,True,False,Saturday
76,7,6,14,2024-07-06 12:12:00,2024-07-06,12:12:00,True,True,True,False,True,,True,True,False,Saturday
712,7,12,14,2024-07-06 12:15:00,2024-07-06,12:15:00,True,True,True,False,False,True,True,True,False,Saturday
110,1,10,14,2024-07-06 12:16:00,2024-07-06,12:16:00,True,True,False,True,True,True,True,True,False,Saturday
111,1,11,14,2024-07-06 12:19:00,2024-07-06,12:19:00,True,True,False,True,False,True,True,True,True,Saturday
12,1,2,15,2024-07-06 12:06:00,2024-07-06,12:06:00,True,True,False,True,False,False,True,True,True,Saturday
17,1,7,15,2024-07-06 12:08:00,2024-07-06,12:08:00,True,True,True,,True,False,True,True,False,Saturday
117,1,17,15,2024-07-06 12:10:00,2024-07-06,12:10:00,True,True,False,True,True,True,True,True,False,Saturday
16,1,6,15,2024-07-06 12:14:00,2024-07-06,12:14:00,True,True,True,False,False,True,True,True,False,Saturday
10,1,0,15,2024-07-06 12:17:00,2024-07-06,12:17:00,True,True,True,,True,True,True,True,False,Saturday
117,1,17,15,2024-07-06 12:20:00,2024-07-06,12:20:00,True,True,True,,False,True,True,True,False,Saturday
24,2,4,15,2024-07-06 12:24:00,2024-07-06,12:24:00,True,True,False,False,True,False,True,True,False,Saturday
23,2,3,15,2024-07-06 12:29:00,2024-07-06,12:29:00,True,True,True,False,True,,True,True,False,Saturday
25,2,5,15,2024-07-06 12:31:00,2024-07-06,12:31:00,True,True,False,True,True,True,True,True,False,Saturday
20,2,0,15,2024-07-06 12:35:00,2024-07-06,12:35:00,True,True,True,False,False,,True,True,False,Saturday
28,2,8,15,2024-07-06 12:37:00,2024-07-06,12:37:00,True,True,False,False,True,True,True,True,False,Saturday
23,2,3,15,2024-07-06 12:41:00,2024-07-06,12:41:00,True,True,False,True,True,True,True,True,False,Saturday
26,2,6,16,2024-07-06 12:14:00,2024-07-06,12:14:00,False,True,True,True,False,,True,True,False,Saturday
16,1,6,16,2024-07-06 12:18:00,2024-07-06,12:18:00,False,True,False,False,False,True,True,True,True,Saturday
11,1,1,16,2024-07-06 12:20:00,2024-07-06,12:20:00,False,True,False,True,True,False,True,True,False,Saturday
27,2,7,17,2024-07-06 12:27:00,2024-07-06,12:27:00,True,True,False,False,True,,True,True,False,Saturday
22,2,2,17,2024-07-06 12:32:00,2024-07-06,12:32:00,True,True,True,True,True,False,True,True,False,Saturday
25,2,5,17,2024-07-06 12:36:00,2024-07-06,12:36:00,True,True,True,False,,,True,True,False,Saturday
20,2,0,17,2024-07-06 12:41:00,2024-07-06,12:41:00,True,True,False,False,,True,True,True,False,Saturday
415,4,15,17,2024-07-06 12:46:00,2024-07-06,12:46:00,True,True,True,False,False,False,True,True,False,Saturday
34,3,4,17,2024-07-06 12:49:00,2024-07-06,12:49:00,True,True,True,True,False,False,True,True,False,Saturday
30,3,0,17,2024-07-06 12:54:00,2024-07-06,12:54:00,True,True,False,False,True,False,True,True,False,Saturday
55,5,5,17,2024-07-06 12:56:00,2024-07-06,12:56:00,True,True,True,False,False,False,True,True,False,Saturday
53,5,3,17,2024-07-06 13:01:00,2024-07-06,13:01:00,True,True,False,True,True,False,True,True,False,Saturday
514,5,14,17,2024-07-06 13:02:00,2024-07-06,13:02:00,True,True,True,False,True,,True,True,False,Saturday
511,5,11,17,2024-07-06 13:03:00,2024-07-06,13:03:00,True,True,False,False,False,False,True,True,False,Saturday
616,6,16,17,2024-07-06 13:07:00,2024-07-06,13:07:00,True,True,False,False,,False,True,True,False,Saturday
61,6,1,17,2024-07-06 13:09:00,2024-07-06,13:09:00,True,True,False,True,True,False,True,True,False,Saturday
610,6,10,17,2024-07-06 13:14:00,2024-07-06,13:14:00,True,True,False,True,False,True,True,True,True,Saturday
07,0,7,18,2024-07-06 12:29:00,2024-07-06,12:29:00,True,True,True,False,True,False,True,True,False,Saturday
03,0,3,18,2024-07-06 12:30:00,2024-07-06,12:30:00,True,True,False,True,False,False,True,True,True,Saturday
09,0,9,18,2024-07-06 12:34:00,2024-07-06,12:34:00,True,True,False,False,False,False,True,True,False,Saturday
09,0,9,18,2024-07-06 12:35:00,2024-07-06,12:35:00,True,True,True,False,False,,True,True,False,Saturday
710,7,10,18,2024-07-06 12:37:00,2024-07-06,12:37:00,True,True,True,,True,False,True,True,False,Saturday
76,7,6,18,2024-07-06 12:42:00,2024-07-06,12:42:00,True,True,False,False,True,True,True,True,False,Saturday
71,7,1,18,2024-07-06 12:45:00,2024-07-06,12:45:00,True,True,True,False,False,False,True,True,False,Saturday
78,7,8,18,2024-07-06 12:50:00,2024-07-06,12:50:00,True,True,True,False,False,True,True,True,False,Saturday
713,7,13,18,2024-07-06 12:52:00,2024-07-06,12:52:00,True,True,False,True,True,False,True,True,False,Saturday
712,7,12,18,2024-07-06 12:53:00,2024-07-06,12:53:00,True,True,False,False,True,False,True,True,False,Saturday
713,7,13,18,2024-07-06 12:57:00,2024-07-06,12:57:00,True,True,False,False,False,,True,True,False,Saturday
711,7,11,18,2024-07-06 13:02:00,2024-07-06,13:02:00,True,True,False,False,True,False,True,True,False,Saturday
714,7,14,18,2024-07-06 13:05:00,2024-07-06,13:05:00,True,True,False,True,False,True,True,True,True,Saturday
01,0,1,18,2024-07-06 13:09:00,2024-07-06,13:09:00,True,True,False,True,False,False,True,True,True,Saturday
03,0,3,18,2024-07-06 13:14:00,2024-07-06,13:14:00,True,True,True,,False,True,True,True,False,Saturday
07,0,7,18,2024-07-06 13:18:00,2024-07-06,13:18:00,True,True,False,False,False,False,True,True,False,Saturday
09,0,9,19,2024-07-06 12:40:00,2024-07-06,12:40:00,True,True,True,True,False,False,True,True,False,Saturday
011,0,11,19,2024-07-06 12:42:00,2024-07-06,12:42:00,True,True,True,False,True,True,True,True,False,Saturday
03,0,3,19,2024-07-06 12:46:00,2024-07-06,12:46:00,True,True,False,True,True,True,True,True,False,Saturday
02,0,2,19,2024-07-06 12:47:00,2024-07-06,12:47:00,True,True,True,True,,True,True,True,False,Saturday
56,5,6,19,2024-07-06 12:48:00,2024-07-06,12:48:00,True,True,False,True,True,False,True,True,False,Saturday
514,5,14,19,2024-07-06 12:53:00,2024-07-06,12:53:00,True,True,False,True,True,False,True,True,False,Saturday
52,5,2,19,2024-07-06 12:54:00,2024-07-06,12:54:00,True,True,False,True,True,False,True,True,False,Saturday
512,5,12,19,2024-07-06 12:57:00,2024-07-06,12:57:00,True,True,True,False,True,True,True,True,False,Saturday
510,5,10,19,2024-07-06 12:58:00,2024-07-06,12:58:00,True,True,True,False,,False,True,True,False,Saturday
44,4,4,19,2024-07-06 13:02:00,2024-07-06,13:02:00,True,True,True,False,False,True,True,True,False,Saturday
715,7,15,19,2024-07-06 13:07:00,2024-07-06,13:07:00,True,True,False,False,False,True,True,True,True,Saturday
72,7,2,19,2024-07-06 13:10:00,2024-07-06,13:10:00,True,True,False,False,,,True,True,False,Saturday
73,7,3,19,2024-07-06 13:13:00,2024-07-06,13:13:00,True,True,False,False,False,False,True,True,False,Saturday
412,4,12,19,2024-07-06 13:18:00,2024-07-06,13:18:00,True,True,True,True,False,,True,True,False,Saturday
41,4,1,19,2024-07-06 13:22:00,2024-07-06,13:22:00,True,True,False,True,False,,True,True,True,Saturday
42,4,2,19,2024-07-06 13:23:00,2024-07-06,13:23:00,True,True,False,True,False,,True,True,True,Saturday
23,2,3,20,2024-07-06 12:42:00,2024-07-06,12:42:00,True,True,False,False,False,True,True,True,True,Saturday
24,2,4,20,2024-07-06 12:44:00,2024-07-06,12:44:00,True,True,True,False,True,True,True,True,False,Saturday
28,2,8,20,2024-07-06 12:45:00,2024-07-06,12:45:00,True,True,True,True,False,True,True,True,False,Saturday
414,4,14,20,2024-07-06 12:49:00,2024-07-06,12:49:00,True,True,True,True,False,False,True,True,False,Saturday
24,2,4,20,2024-07-06 12:50:00,2024-07-06,12:50:00,True,True,True,False,True,False,True,True,False,Saturday
28,2,8,20,2024-07-06 12:52:00,2024-07-06,12:52:00,True,True,False,False,False,True,True,True,True,Saturday
24,2,4,21,2024-07-06 12:50:00,2024-07-06,12:50:00,True,True,True,True,False,False,True,True,False,Saturday
77,7,7,21,2024-07-06 12:52:00,2024-07-06,12:52:00,True,True,False,True,False,,True,True,True,Saturday
77,7,7,21,2024-07-06 12:55:00,2024-07-06,12:55:00,True,True,True,True,True,False,True,True,False,Saturday
73,7,3,21,2024-07-06 12:56:00,2024-07-06,12:56:00,True,True,False,False,,False,True,True,False,Saturday
711,7,11,21,2024-07-06 12:59:00,2024-07-06,12:59:00,True,True,True,False,True,False,True,True,False,Saturday
22,2,2,21,2024-07-06 13:00:00,2024-07-06,13:00:00,True,True,True,False,True,False,True,True,False,Saturday
417,4,17,22,2024-07-06 12:51:00,2024-07-06,12:51:00,True,True,True,True,False,False,True,True,False,Saturday
49,4,9,22,2024-07-06 12:54:00,2024-07-06,12:54:00,True,True,False,True,True,True,True,True,False,Saturday
16,1,6,22,2024-07-06 12:58:00,2024-07-06,12:58:00,True,True,True,True,True,True,True,True,False,Saturday
19,1,9,22,2024-07-06 13:00:00,2024-07-06,13:00:00,True,True,True,False,True,False,True,True,False,Saturday
17,1,7,22,2024-07-06 13:02:00,2024-07-06,13:02:00,True,True,True,True,,False,True,True,False,Saturday
17,1,7,22,2024-07-06 13:03:00,2024-07-06,13:03:00,True,True,True,False,False,True,True,True,False,Saturday
111,1,11,22,2024-07-06 13:08:00,2024-07-06,13:08:00,True,True,False,True,False,True,True,True,True,Saturday
114,1,14,22,2024-07-06 13:10:00,2024-07-06,13:10:00,True,True,False,True,False,False,False,True,True,Saturday
117,1,17,22,2024-07-06 13:11:00,2024-07-06,13:11:00,True,True,False,False,False,False,True,True,False,Saturday
44,4,4,23,2024-07-06 13:00:00,2024-07-06,13:00:00,True,True,True,True,False,False,True,True,False,Saturday
48,4,8,23,2024-07-06 13:05:00,2024-07-06,13:05:00,True,True,False,True,False,True,True,True,True,Saturday
417,4,17,23,2024-07-06 13:09:00,2024-07-06,13:09:00,True,True,True,False,True,,True,True,False,Saturday
49,4,9,23,2024-07-06 13:11:00,2024-07-06,13:11:00,True,True,False,True,True,True,True,True,False,Saturday
416,4,16,23,2024-07-06 13:12:00,2024-07-06,13:12:00,True,True,True,False,False,True,True,True,False,Saturday
18,1,8,23,2024-07-06 13:17:00,2024-07-06,13:17:00,True,True,False,True,True,True,True,True,False,Saturday
19,1,9,23,2024-07-06 13:21:00,2024-07-06,13:21:00,True,True,True,False,True,False,True,True,False,Saturday
117,1,17,23,2024-07-06 13:26:00,2024-07-06,13:26:00,True,True,True,,False,True,True,True,False,Saturday
111,1,11,23,2024-07-06 13:30:00,2024-07-06,13:30:00,True,True,True,,False,True,True,True,False,Saturday
18,1,8,23,2024-07-06 13:31:00,2024-07-06,13:31:00,True,True,False,True,True,True,True,True,False,Saturday
16,1,6,23,2024-07-06 13:34:00,2024-07-06,13:34:00,True,True,True,False,True,False,True,True,False,Saturday
05,0,5,23,2024-07-06 13:36:00,2024-07-06,13:36:00,True,True,True,False,True,,True,True,False,Saturday
011,0,11,23,2024-07-06 13:41:00,2024-07-06,13:41:00,True,True,False,True,False,,True,True,True,Saturday
20,2,0,23,2024-07-06 13:45:00,2024-07-06,13:45:00,True,True,True,True,True,True,True,True,False,Saturday
77,7,7,23,2024-07-06 13:50:00,2024-07-06,13:50:00,True,True,True,True,False,,True,True,False,Saturday
73,7,3,23,2024-07-06 13:53:00,2024-07-06,13:53:00,True,True,False,True,True,True,True,True,False,Saturday
73,7,3,23,2024-07-06 13:58:00,2024-07-06,13:58:00,True,True,False,False,False,False,True,True,False,Saturday
710,7,10,23,2024-07-06 13:59:00,2024-07-06,13:59:00,True,True,False,False,False,False,True,True,False,Saturday
711,7,11,23,2024-07-06 14:03:00,2024-07-06,14:03:00,True,True,False,True,True,True,True,True,False,Saturday
62,6,2,24,2024-07-06 13:04:00,2024-07-06,13:04:00,False,True,False,False,True,False,True,True,False,Saturday
31,3,1,24,2024-07-06 13:05:00,2024-07-06,13:05:00,False,True,False,False,False,True,True,True,True,Saturday
04,0,4,25,2024-07-06 13:18:00,2024-07-06,13:18:00,True,True,True,True,True,False,True,True,False,Saturday
00,0,0,25,2024-07-06 13:21:00,2024-07-06,13:21:00,True,True,True,True,False,,True,True,False,Saturday
00,0,0,25,2024-07-06 13:24:00,2024-07-06,13:24:00,True,True,True,False,True,,True,True,False,Saturday
06,0,6,25,2024-07-06 13:28:00,2024-07-06,13:28:00,True,True,False,True,True,True,True,True,False,Saturday
011,0,11,25,2024-07-06 13:29:00,2024-07-06,13:29:00,True,True,False,True,False,,True,True,True,Saturday
03,0,3,25,2024-07-06 13:33:00,2024-07-06,13:33:00,True,True,False,True,True,False,True,True,False,Saturday
012,0,12,25,2024-07-06 13:37:00,2024-07-06,13:37:00,True,True,False,True,False,True,True,True,True,Saturday
07,0,7,25,2024-07-06 13:40:00,2024-07-06,13:40:00,True,True,False,False,True,,True,True,False,Saturday
01,0,1,25,2024-07-06 13:42:00,2024-07-06,13:42:00,True,True,True,True,True,True,True,True,False,Saturday
03,0,3,25,2024-07-06 13:44:00,2024-07-06,13:44:00,True,True,True,False,True,,True,True,False,Saturday
01,0,1,25,2024-07-06 13:49:00,2024-07-06,13:49:00,True,True,True,True,False,False,True,True,False,Saturday
06,0,6,25,2024-07-06 13:50:00,2024-07-06,13:50:00,True,True,False,False,True,False,True,True,False,Saturday
07,0,7,25,2024-07-06 13:54:00,2024-07-06,13:54:00,True,True,False,True,True,False,True,True,False,Saturday
